"Date","Time","Open","High","Low","Close","Up","Down"
09/07/2021,00:05,4538.75,4539.25,4537.75,4539.00,251,147
09/07/2021,00:10,4539.00,4539.75,4538.50,4539.00,86,199
09/07/2021,00:15,4539.25,4540.00,4539.25,4539.75,254,159
09/07/2021,00:20,4540.00,4540.25,4539.50,4539.75,237,111
09/07/2021,00:25,4539.75,4540.25,4539.50,4539.50,169,114
09/07/2021,00:30,4539.50,4539.50,4538.25,4538.50,59,157
09/07/2021,00:35,4538.75,4539.25,4538.00,4538.25,244,252
09/07/2021,00:40,4538.00,4538.00,4537.50,4538.00,163,255
09/07/2021,00:45,4538.25,4539.00,4538.25,4538.75,110,18
09/07/2021,00:50,4538.75,4539.25,4538.75,4539.25,223,57
09/07/2021,00:55,4539.25,4539.25,4538.50,4539.25,128,68
09/07/2021,01:00,4539.25,4539.50,4538.75,4539.25,92,118
09/07/2021,01:05,4539.25,4540.50,4539.00,4540.25,234,166
09/07/2021,01:10,4540.25,4541.00,4540.25,4540.50,132,260
09/07/2021,01:15,4540.50,4540.75,4540.25,4540.50,179,240
09/07/2021,01:20,4540.50,4540.75,4540.25,4540.25,177,107
09/07/2021,01:25,4540.25,4540.75,4539.75,4540.50,121,184
09/07/2021,01:30,4540.50,4540.75,4539.50,4540.75,221,108
09/07/2021,01:35,4540.75,4540.75,4540.00,4540.00,26,178
09/07/2021,01:40,4540.00,4540.25,4539.50,4539.50,89,144
09/07/2021,01:45,4539.50,4539.75,4539.00,4539.00,235,162
09/07/2021,01:50,4539.00,4539.25,4538.50,4538.75,183,325
09/07/2021,01:55,4539.00,4539.00,4538.75,4539.00,92,51
09/07/2021,02:00,4538.75,4539.50,4538.25,4539.50,195,90
09/07/2021,02:05,4539.50,4539.75,4538.25,4539.50,674,662
09/07/2021,02:10,4539.50,4539.75,4538.50,4538.75,133,394
09/07/2021,02:15,4538.75,4538.75,4537.00,4538.50,375,482
09/07/2021,02:20,4538.50,4539.75,4538.00,4539.75,379,264
09/07/2021,02:25,4539.75,4539.75,4538.75,4539.00,232,249
09/07/2021,02:30,4539.25,4540.00,4538.25,4539.75,212,165
09/07/2021,02:35,4539.50,4539.75,4539.00,4539.00,130,232
09/07/2021,02:40,4539.00,4539.50,4538.50,4539.00,152,232
09/07/2021,02:45,4539.00,4539.25,4538.25,4538.50,145,250
09/07/2021,02:50,4538.50,4539.00,4537.50,4538.50,272,373
09/07/2021,02:55,4538.50,4540.00,4538.25,4539.25,368,230
09/07/2021,03:00,4539.00,4540.25,4539.00,4539.25,320,179
09/07/2021,03:05,4539.25,4539.50,4537.75,4538.50,279,487
09/07/2021,03:10,4538.50,4538.50,4532.25,4535.00,1200,2245
09/07/2021,03:15,4535.00,4538.75,4533.00,4538.50,1141,718
09/07/2021,03:20,4538.50,4539.00,4537.50,4538.00,436,436
09/07/2021,03:25,4537.75,4538.75,4536.75,4538.00,465,520
09/07/2021,03:30,4537.75,4538.00,4536.25,4537.25,325,433
09/07/2021,03:35,4537.25,4538.50,4536.75,4538.25,329,196
09/07/2021,03:40,4538.25,4539.25,4537.75,4538.50,358,204
09/07/2021,03:45,4538.75,4538.75,4537.50,4538.50,234,198
09/07/2021,03:50,4538.25,4538.50,4537.75,4537.75,137,203
09/07/2021,03:55,4537.75,4538.25,4536.00,4537.00,351,367
09/07/2021,04:00,4536.75,4538.25,4536.75,4537.25,352,275
09/07/2021,04:05,4537.25,4537.50,4535.00,4537.25,702,855
09/07/2021,04:10,4537.25,4537.75,4534.50,4535.25,264,408
09/07/2021,04:15,4535.50,4535.75,4533.00,4535.00,440,494
09/07/2021,04:20,4535.00,4535.25,4533.75,4534.50,333,329
09/07/2021,04:25,4534.50,4534.75,4530.25,4530.75,778,1517
09/07/2021,04:30,4530.50,4534.00,4530.50,4534.00,689,505
09/07/2021,04:35,4533.75,4534.00,4529.25,4529.50,441,830
09/07/2021,04:40,4529.75,4531.50,4529.25,4531.00,562,428
09/07/2021,04:45,4530.75,4532.25,4530.00,4531.75,267,277
09/07/2021,04:50,4532.00,4532.25,4530.25,4530.50,317,353
09/07/2021,04:55,4530.25,4532.00,4530.00,4531.50,318,289
09/07/2021,05:00,4531.25,4533.50,4531.25,4533.50,544,204
09/07/2021,05:05,4533.50,4533.50,4531.75,4533.00,283,320
09/07/2021,05:10,4533.00,4534.25,4532.50,4533.50,394,252
09/07/2021,05:15,4533.50,4534.00,4532.75,4532.75,315,391
09/07/2021,05:20,4532.75,4534.00,4532.50,4533.75,238,101
09/07/2021,05:25,4533.75,4534.25,4533.25,4533.75,254,240
09/07/2021,05:30,4533.75,4535.00,4531.50,4532.75,914,955
09/07/2021,05:35,4532.50,4534.25,4532.25,4533.25,393,264
09/07/2021,05:40,4533.50,4534.25,4532.50,4533.75,332,237
09/07/2021,05:45,4533.75,4534.25,4531.75,4532.75,218,395
